d_model,n_heads,n_layers,dropout,lr,val_loss,best_epoch,n_params
16,2,1,0.4,0.001,0.0009530545243792034,8,11754
32,2,1,0.3,0.0005,0.0009568597962606005,21,29906
32,2,1,0.4,0.001,0.0009569031342239207,9,29906
16,2,1,0.3,0.0005,0.0009600244642387844,17,11754
16,2,1,0.3,0.001,0.0009643477674600311,23,11754
32,2,1,0.4,0.0005,0.0009692442199564724,15,29906
32,2,1,0.3,0.001,0.0009788291659117313,14,29906
16,2,1,0.4,0.0005,0.0010455668378630224,16,11754
