d_model,n_heads,e_layers,dropout,pool,lr,phase,val_loss,dir_acc,balanced_acc,best_epoch,n_params
64,8,3,0.2,target_token,0.0005,random,0.553898627474696,0.48476299040562365,0.5017707622799574,1,156130
64,8,3,0.2,target_token,0.001,random,0.5442216210593137,0.5184857984231025,0.502377470422588,8,156130
64,8,3,0.1,target_token,0.001,random,0.5478923480236894,0.5175928564643298,0.49939723582984896,2,156130
128,4,2,0.1,target_token,0.0005,random,0.5460835300982593,0.4992590481618695,0.5052126580738845,10,412994
128,4,2,0.1,mean,0.0005,random,0.5560807836466822,0.4815901966372186,0.49996216623156164,4,412994
128,8,3,0.2,target_token,0.001,random,0.5451617487341837,0.5067825591336563,0.4956320050841112,10,611266
64,4,3,0.2,target_token,0.001,refine,0.5451379552620864,0.5101168424052437,0.5016329847450267,9,156130
64,8,2,0.2,target_token,0.001,refine,0.5446493968603968,0.5181248218865774,0.5001391093932909,7,106146
64,8,3,0.2,mean,0.001,refine,0.545491050149659,0.5014629049111807,0.498318640772637,9,156130
